Cancer,Articles,Country,ASR
Cervical cancer,3.6013400335008376,Bulgaria,4.9778582280117645
Colon cancer,2.2613065326633164,Bulgaria,6.044542134014286
Colorectal cancer,10.134003350083752,Bulgaria,9.761773927659435
Esophageal cancer,0.33500837520938026,Bulgaria,0.517180075637586
Gallbladder cancer,0.08375209380234507,Bulgaria,0.1325273943821314
Hodgkin lymphoma,1.0050251256281406,Bulgaria,0.45253256618288773
Kaposi sarcoma,0.16750418760469013,Bulgaria,0.01616187736367456
Kidney cancer,1.340033500837521,Bulgaria,1.9394252836409474
Laryngeal cancer,0.8375209380234506,Bulgaria,1.0020363965478227
Leukemia,13.651591289782244,Bulgaria,1.810130264731551
Liver cancer,2.847571189279732,Bulgaria,1.4222452080033616
Lung cancer,4.857621440536013,Bulgaria,8.759737531111613
Mesothelioma,0.25125628140703515,Bulgaria,0.14222452080033615
Mouth cancer,0.0,Bulgaria,0.9697126418204737
Multiple myeloma,3.5175879396984926,Bulgaria,0.45253256618288773
Non-Hodgkin lymphoma,0.9212730318257957,Bulgaria,1.292950189093965
Ovarian cancer,2.0100502512562812,Bulgaria,3.2323754727349123
Pancreatic cancer,1.423785594639866,Bulgaria,2.4242816045511844
Penile cancer,0.33500837520938026,Bulgaria,0.2909137925461421
Prostate cancer,4.1038525963149075,Bulgaria,12.347674305847367
Rectal cancer,2.763819095477387,Bulgaria,3.5556130200084035
Salivary gland cancer,0.08375209380234507,Bulgaria,0.14222452080033615
Skin cancer,14.489112227805695,Bulgaria,3.200051718007563
Stomach cancer,0.6700167504187605,Bulgaria,2.909137925461421
Testicular cancer,0.5025125628140703,Bulgaria,1.4545689627307106
Throat cancer,0.0,Bulgaria,0.7854672398745838
Thyroid cancer,2.3450586264656614,Bulgaria,1.4222452080033616
Uterine cancer,1.5912897822445562,Bulgaria,5.17180075637586
Vaginal cancer,0.0,Bulgaria,0.1325273943821314
Vulvar cancer,0.4187604690117253,Bulgaria,0.3555613020008404
Anal cancer,0.0,St. Lucia,0.0
Bladder cancer,1.271186440677966,St. Lucia,0.2624266748996604
Brain cancer,5.932203389830509,St. Lucia,0.0
Breast cancer,27.54237288135593,St. Lucia,19.952145723988885
Cervical cancer,4.661016949152542,St. Lucia,6.058968817536276
Colon cancer,6.3559322033898304,St. Lucia,3.62766285890707
Colorectal cancer,5.932203389830509,St. Lucia,4.746835443037974
Esophageal cancer,0.423728813559322,St. Lucia,0.656066687249151
Gallbladder cancer,0.0,St. Lucia,0.15436863229391787
Hodgkin lymphoma,0.0,St. Lucia,0.8876196356900277
Kaposi sarcoma,0.0,St. Lucia,0.0
Kidney cancer,3.389830508474576,St. Lucia,1.1963569002778636
Laryngeal cancer,0.0,St. Lucia,0.4245137388082742
Leukemia,7.627118644067797,St. Lucia,1.8524235875270145
Liver cancer,1.694915254237288,St. Lucia,0.46310589688175363
Lung cancer,2.1186440677966103,St. Lucia,3.743439333127508
Mesothelioma,0.847457627118644,St. Lucia,0.0
Mouth cancer,0.0,St. Lucia,1.6980549552330968
Multiple myeloma,1.271186440677966,St. Lucia,0.8104353195430688
Non-Hodgkin lymphoma,0.0,St. Lucia,2.8172275393640014
Ovarian cancer,3.389830508474576,St. Lucia,1.7366471133065762
Pancreatic cancer,1.271186440677966,St. Lucia,1.389317690645261
Penile cancer,0.0,St. Lucia,1.4279098487187403
Prostate cancer,8.05084745762712,St. Lucia,36.23803643099722
Rectal cancer,0.0,St. Lucia,1.1191725841309046
Salivary gland cancer,0.0,St. Lucia,0.0
Skin cancer,15.254237288135593,St. Lucia,0.15436863229391787
Stomach cancer,0.0,St. Lucia,3.3189255943192344
Testicular cancer,0.0,St. Lucia,0.0
Throat cancer,0.0,St. Lucia,0.3280333436245755
Thyroid cancer,0.0,St. Lucia,1.7366471133065762
Uterine cancer,2.9661016949152543,St. Lucia,2.5084902747761655
Vaginal cancer,0.0,St. Lucia,0.33575177523927136
Vulvar cancer,0.0,St. Lucia,0.3550478542760111
Anal cancer,1.092896174863388,Zimbabwe,0.3286936105986919
Bladder cancer,1.092896174863388,Zimbabwe,0.905584437363743
Brain cancer,1.092896174863388,Zimbabwe,0.7378836156297166
Breast cancer,17.48633879781421,Zimbabwe,12.007378836156294
Cervical cancer,32.78688524590164,Zimbabwe,22.87439208452121
Colon cancer,0.546448087431694,Zimbabwe,1.7440885460338753
Colorectal cancer,2.185792349726776,Zimbabwe,3.2533959416401133
Esophageal cancer,0.0,Zimbabwe,4.024819721616636
Gallbladder cancer,0.0,Zimbabwe,0.2180110682542344
Hodgkin lymphoma,1.092896174863388,Zimbabwe,0.2582592654704008
Kaposi sarcoma,6.0109289617486334,Zimbabwe,3.186315612946503
Kidney cancer,1.639344262295082,Zimbabwe,0.5031024652020795
Laryngeal cancer,0.0,Zimbabwe,0.40248197216166354
Leukemia,8.19672131147541,Zimbabwe,0.905584437363743
Liver cancer,7.103825136612022,Zimbabwe,2.582592654704008
Lung cancer,7.103825136612022,Zimbabwe,1.9788696964615125
Mesothelioma,1.092896174863388,Zimbabwe,0.02347811504276371
Mouth cancer,0.0,Zimbabwe,0.4695623008552741
Multiple myeloma,1.092896174863388,Zimbabwe,1.1739057521381853
Non-Hodgkin lymphoma,1.639344262295082,Zimbabwe,3.454636927720945
Ovarian cancer,0.546448087431694,Zimbabwe,2.1801106825423444
Pancreatic cancer,0.0,Zimbabwe,0.905584437363743
Penile cancer,0.0,Zimbabwe,1.006204930404159
Prostate cancer,2.185792349726776,Zimbabwe,22.90793224886802
Rectal cancer,0.0,Zimbabwe,1.2074459164849907
